사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2023112200100265,2023년 11월 22일 12시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,보행자,여,40세,경상
2023112200100266,2023년 11월 22일 12시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,이륜,남,51세,경상
2023112200100295,2023년 11월 22일 13시,수요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,68세,상해없음,승용,남,54세,경상
2023112200100326,2023년 11월 22일 14시,수요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,승합,남,48세,경상
2023112200100437,2023년 11월 22일 17시,수요일,경기도 수원시 권선구 구운동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,기타불명,승용,남,42세,경상
2023112200100474,2023년 11월 22일 18시,수요일,경기도 수원시 장안구 정자동,중상사고,0,1,0,1,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,29세,상해없음,이륜,남,36세,중상
2023112200100475,2023년 11월 22일 18시,수요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,여,34세,경상
2023112200100543,2023년 11월 22일 19시,수요일,경기도 수원시 권선구 금곡동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,31세,상해없음,승용,남,33세,경상
2023112200100627,2023년 11월 22일 23시,수요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,교차로 - 교차로부근,개인형이동수단(PM),남,38세,경상,,,,
2023112300100062,2023년 11월 23일 07시,목요일,경기도 수원시 영통구 영통동,부상신고사고,0,0,0,1,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,개인형이동수단(PM),남,36세,부상신고,승용,남,25세,상해없음
